,contrast,B_shadow,B_dark,B_light,B_highlight,G_shadow,G_dark,G_light,G_highlight,R_shadow,R_dark,R_light,R_highlight,B_average,G_average,R_average,sharpness,red_average,orange_average,yellow_average,green_average,cyan_average,blue_average,purple_average
20181225-DSC04214.jpg,0.006893586674486109,0.008994863630255062,0.0006378038393791194,0.00799160611804205,0.001469206996450366,0.009145312148122113,0.003161776220474531,0.006182898649011094,0.001210077653921622,0.011248356689882265,0.004973019932909332,0.0022672121201516285,0.0007789101678875954,0.003537829976050144,0.0032850596767429597,0.002048513227259167,0.0008721608768200471,0.012268974095818503,1.6365297077188485e-05,0.00022245960848258972,0.001470255010295991,0.02180473758911964,0.007111330260470309,0.0009097301547512651
20190112-DSC04345.jpg,0.0017691749656218766,0.01596304552360605,0.00012879294598325733,6.404919978335748e-05,3.616581945848373e-05,0.016224738095122114,0.00011976103876619271,7.143170837248818e-05,3.097383647330601e-05,0.01393666032731076,0.002650953322456089,0.0008169422413202062,0.0002659731742176084,0.000266808633988812,0.00022038308433272686,0.0011152608713645424,0.0018112293350542605,0.021973646148621743,0.00010859620974399247,2.724407528782868e-05,0.0005890015999370049,3.8183757721952216e-05,0.0008495586462984613,7.826267887279854e-05
20190112-DSC04359.jpg,0.0020858463788700115,0.015936848636477083,0.00010428536274287951,4.774789735069077e-05,0.00012420723136148453,0.01617193884739371,0.00013774590083679501,5.2364031882090164e-05,0.00012868939846255443,0.014112695247917948,0.002825511549497728,0.0004451177389531193,0.00022087236620771977,0.00026539158206873053,0.00023873906720395176,0.001122257987692241,0.00138725953455788,0.022244870480705215,0.00015530775305702715,0.0001914855970458284,0.0001504778460217916,1.0391950810580156e-06,1.939000669861306e-05,4.7556357969857244e-05
20190112-DSC04374.jpg,0.0013962455932310625,0.01608176672866654,8.765409626733503e-06,2.1284642610932824e-05,2.6477145482078656e-07,0.016345787601308046,8.992431035301149e-06,2.156899408476571e-05,1.418958477180249e-07,0.01256317903581445,0.004818467430582765,0.0009970589342007717,0.0002002201131058465,0.00015006051025938301,0.00017080632844854998,0.0017959144903071727,0.001067788758863863,0.02248197808817681,1.0739418310737777e-05,1.3987260558497326e-07,0.0001128583845163437,1.065841108777452e-07,4.063746730994373e-05,2.3325950400201946e-05
20190422-DSC04751.jpg,0.006830307405512311,0.004573989164914491,0.006058257841155757,0.007067313678144023,0.005074246868138589,0.004892654176145316,0.005622261141656563,0.006893841681276907,0.005117980518835275,0.0051352511836572495,0.005388211769887959,0.007602812282663884,0.004375493084145196,0.005987738166407328,0.005880224693108226,0.0056381231588403915,0.006513814760807421,0.0020193536897370715,0.004633733862730824,0.00425080619073044,0.003935089137970485,0.004987789990718122,0.01393507229074717,0.008425353182610671
20190422-DSC04760.jpg,0.006645263175903026,0.003013540593795993,0.00742773280629861,0.005799756581797311,0.008038333885806758,0.0031837688765800195,0.007280980122921405,0.005709440527410529,0.007911767864555467,0.003419022519273172,0.007726310231792521,0.007199618034985265,0.005326415636070507,0.006739178279292293,0.0065783889525879505,0.006124437791602786,0.006173105552925126,0.0009326581979457361,0.002974680934591474,0.005865122555988479,0.004387340490416413,0.010514815644394477,0.010376303853365158,0.009702645686456084
20190422-DSC04799.jpg,0.007089328558088023,0.004806869584137031,0.0070619704628289,0.0028417380203392137,0.00936321102032926,0.005104823076032415,0.006489537730475663,0.0037292151806694687,0.008307555925511816,0.00536937582746345,0.007971453408693034,0.003354376554003728,0.006443308047642826,0.006094428955159044,0.005954200609980055,0.005468106055294159,0.009233427094406046,0.0029903377662174953,0.004049105546855368,0.008928581280709322,0.0028024746362171784,0.00893406669596664,0.012489248286589373,0.004860136778344365
20190423-DSC05082.jpg,0.005822478139307485,0.011952076308652162,0.003709096681443111,0.0008514481914614918,0.0021580442583922672,0.012244905510775403,0.003880086089906207,0.0005197753545629378,0.0020983862023072346,0.012542024874041546,0.0033207360252220956,0.0005256554234178741,0.0018295297313037915,0.0030808163237357787,0.0029834995261839537,0.002833716653045,0.004564082571407896,0.015050241090176672,0.002810525477274775,0.002213064365565447,0.00904082114639,0.002086543846598179,0.0033317513262447456,0.0007631990487281274
20190423-DSC05096.jpg,0.006072344921985095,0.008168515427878487,0.006243534333659731,0.0045917496194930775,0.0018889972348936337,0.008433927473388898,0.006335000042299923,0.004226681275815975,0.0017241967164571088,0.00880781579945678,0.007575877701011464,0.002926396863937669,0.0014847995379538707,0.0041667015907597225,0.004035647985593127,0.0036653456356012413,0.0047437006018386475,0.008409631505346165,0.0037287161848108073,0.0022209283142794467,0.008517595188774632,0.004450073151339898,0.008291221228831708,0.004996212359488622
20190423-DSC05160.jpg,0.003980937031748651,0.0006967289079475658,0.007491119897394081,0.01168510476496365,0.004534299420957576,0.0008096587236488545,0.008804428093908509,0.0117556550271294,0.0025913019710265706,0.0031196115552233053,0.012627985503777849,0.008224737416413325,2.383594874858902e-05,0.007136253956072705,0.006661015708930657,0.005001236693445077,0.0018603585027412866,0.0005149440204299752,0.001740150315401444,1.8012483319220447e-05,0.0011664369679204715,0.03357463443115501,0.014181502060460035,0.005859326791726261
