,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30
DSC06749.jpg,0.15750188,0.17460927,-0.11683274,-0.0132815335,-0.25047624,-0.03597744,0.017339617,-0.09843272,-0.10563854,-0.13414396,-0.05849268,0.11603792,-0.04937169,-0.06030678,0.1709514,-0.15227948,-0.077399,-0.024490323,0.20803161,0.015400223,0.15670952,-0.22108154,-0.072472885,-0.038228072,-0.1963975,-0.06405793,-0.025002297,-0.005328452,-0.1716815,-0.1580818
DSC06754.jpg,0.27612647,-0.13151637,-0.27384162,-0.1609787,-0.15510853,0.04201366,0.24853145,0.041550852,0.010262558,-0.017949482,-0.03203092,-0.03951159,0.056741428,-0.033052787,0.15059602,0.2262449,0.06602876,-0.12750818,0.22574967,0.07004832,0.20220357,0.10260941,-0.20447382,-0.16372532,0.1648348,-0.3337431,-0.0953199,0.17491959,-0.07439842,-0.15741032
DSC06756.jpg,0.087435275,-0.10262561,-0.134246,-0.016154207,-0.08649356,0.025301715,0.1112215,-0.075293034,-0.01055429,0.026519924,-0.03265117,-0.023997394,-0.0090719145,-0.02564685,-0.005036824,0.076396935,0.19628868,-0.08404447,0.042970665,0.041214388,0.08775658,0.0037344466,-0.0066133766,-0.043421134,0.09965564,-0.20964526,0.032426767,0.009812083,0.0010596421,-0.11544762
DSC06771.jpg,0.2218281,-0.0045599095,-0.16014424,-0.08409951,-0.16008331,-0.047511138,-0.025749024,-0.24802214,-0.040805418,0.022705255,0.009871002,0.0044944626,-0.10556824,-0.10146725,0.0048886733,-0.10134592,-0.077081576,-0.033930197,0.13075241,0.01680333,-0.012922872,0.051337283,0.13013509,0.010531182,-0.008534715,-0.05086037,-0.0031333335,0.009327194,0.14978212,0.014545246
DSC06786.jpg,0.2748573,-0.25771976,-0.078666545,-0.036976047,-0.13913205,0.1932584,0.3346321,-0.4550034,-0.03919058,0.08105401,-0.042023692,0.10353872,-0.1113413,0.3344992,-0.39866218,-0.089090034,0.506205,0.013623109,0.16593523,0.75861216,0.43136746,0.18746968,0.028146278,0.023947243,-0.039555114,0.22506769,0.08177421,0.15067174,0.16435717,-0.038355853
DSC07680.jpg,0.19073258,-0.060869977,-0.24365449,-0.14247076,-0.21468183,-0.1313242,-0.030350205,0.023275431,-0.07178779,-0.07953481,-0.06569564,0.03065658,0.10216231,0.4055328,-0.017608948,0.3648448,-0.08883971,-0.4329446,-0.38214412,-0.03133318,-0.040696517,0.059658032,-0.08650105,-0.1764701,-0.104500026,-0.0061835414,0.07437404,-0.002357213,-0.1157272,0.0074107666
DSC07681.jpg,0.122138575,-0.059706017,-0.26875147,-0.13027091,-0.23813221,-0.07920714,0.0014960049,-0.006079647,-0.09652714,-0.04559332,-0.07275853,0.04581131,0.14068848,0.37589735,-0.0880575,0.35221964,-0.1114743,-0.44318599,-0.36812422,-0.04365365,-0.04623033,0.06974086,-0.09118263,-0.18003353,-0.034257494,-0.05781722,0.124112,-0.019352064,-0.09286541,0.006753783
DSC07848.jpg,-0.12570986,0.06334803,0.013769524,0.013389296,0.07010551,0.004626587,-0.11043471,9.701587e-06,-0.0039850394,0.0038592424,-0.03461898,0.035499334,0.11255783,0.06883857,0.11095984,0.0074846395,-0.003977957,-0.011679121,0.045539744,-0.0062365243,0.08294185,-0.06136517,0.006509354,0.08217437,-0.041732986,-0.060876932,-0.03222326,0.06759996,0.016086124,-0.070272855
DSC07876.jpg,-0.09399657,-0.09463852,-0.021143941,0.042619497,-0.013709672,0.05033042,-0.08885202,-0.040372044,0.065234125,-0.0041157324,0.07645992,-0.033208426,0.16259505,0.053782165,-0.072655134,-0.026674332,-0.05003388,-0.020912832,0.05179835,0.0035827141,-0.063775115,0.12344012,-0.024646722,0.09795242,0.03214399,0.115659304,0.03669419,-0.050683588,0.0051977616,-0.032640215
DSC07890.jpg,-0.1453453,-0.08385796,-0.06609598,-0.05218711,-0.04614041,0.04009676,-0.021804256,-0.04812956,0.045254596,-0.0072879926,0.017332572,0.003168195,0.10252891,0.04793412,-0.06373809,-0.025762713,0.040988598,-0.039902322,0.021739952,-0.03720062,-0.088279165,0.09743545,0.093608685,0.037750542,0.052102562,0.007088516,0.025240563,0.02882722,0.029253306,-0.0075156223
DSC07899.jpg,0.18312828,-0.13521749,0.046717815,0.2588611,-0.06695387,-0.10784264,-0.1125993,-0.12089809,0.16607772,0.024069246,0.12123083,-0.3007979,0.19394416,0.023687202,-0.094192855,-0.04559779,0.07038008,-0.080872,0.1094323,-0.091406934,-0.08060562,0.1805064,0.19825892,-0.054457553,0.033224218,0.034262635,-0.09909934,-0.07740408,0.12582414,0.2219106
DSC08485.jpg,-0.11191967,0.0467134,-0.0063594393,0.11293158,0.07140566,0.040280838,-0.059450045,-0.02637447,-0.029054306,0.0738826,-0.048067495,0.083449915,0.036813326,0.02394095,0.030886462,0.005248643,-0.0045096325,0.0097531155,0.030091798,-0.035612933,0.13626517,-0.08600535,-0.06126962,0.12633272,-0.05158098,0.009230116,-0.011875821,-0.04552549,-0.022844162,0.0039303694
DSC08486.jpg,-0.14000641,0.03176175,0.012005823,0.09142147,0.050048053,0.01305196,-0.08612314,-0.013767075,-0.019175822,0.051659934,-0.029493617,0.06487267,0.06355022,0.025678689,0.041545946,-0.003591132,-0.02367554,0.01555897,0.013775458,0.0072928006,0.10949799,-0.072359756,-0.026189122,0.08059454,-0.045362577,-0.029667042,-0.012811383,-0.039209414,-0.0030419338,0.019623278
